epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31571,3.28804,5.05019,2.89198,6e-05,0.00957,0.00071,0.00012,3.41211,4.71832,3.27168,1.19e-06,1.19e-06,1.19e-06
2,4.44486,3.2349,5.35277,2.90733,7e-05,0.01116,0.00065,0.00015,3.40423,4.70673,3.26515,3.21657e-06,3.21657e-06,3.21657e-06
3,5.73957,3.24919,5.07701,2.9383,8e-05,0.01196,0.00073,0.00018,3.41349,4.69026,3.27261,4.7719e-06,4.7719e-06,4.7719e-06
4,7.2231,3.17336,5.4449,2.74057,7e-05,0.01037,0.00063,0.00023,3.4055,4.70491,3.27199,5.85599e-06,5.85599e-06,5.85599e-06
5,9.04025,3.00482,5.1179,2.76998,8e-05,0.01196,0.00065,0.00031,3.41879,4.69755,3.27598,6.46884e-06,6.46884e-06,6.46884e-06
6,10.0612,3.22083,6.05435,2.85187,8e-05,0.01196,0.00069,0.00031,3.41116,4.70607,3.27113,6.61045e-06,6.61045e-06,6.61045e-06
7,11.0848,3.26245,5.60317,2.92668,8e-05,0.01276,0.00068,0.00031,3.41379,4.68545,3.26714,6.28082e-06,6.28082e-06,6.28082e-06
8,12.2743,3.16802,6.07545,2.78722,8e-05,0.01276,0.00105,0.00035,3.40283,4.7025,3.26214,5.47995e-06,5.47995e-06,5.47995e-06
9,13.1883,3.08677,5.47438,2.72417,8e-05,0.01276,0.00107,0.00035,3.39807,4.70904,3.2588,4.20784e-06,4.20784e-06,4.20784e-06
10,14.1628,3.064,5.25993,2.67289,9e-05,0.01356,0.00112,0.00032,3.40186,4.71975,3.25335,2.46449e-06,2.46449e-06,2.46449e-06
