epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0142,1.60627,2.87654,1.59825,0.39623,0.25705,0.2568,0.18011,1.51269,2.29507,1.51071,3.91378e-05,3.91378e-05,3.91378e-05
2,69.5405,1.4735,2.38946,1.50797,0.52179,0.30016,0.33455,0.23165,1.4136,1.99072,1.45299,7.72441e-05,7.72441e-05,7.72441e-05
3,104.865,1.42296,2.27998,1.47958,0.51887,0.34859,0.37629,0.26243,1.36935,1.90594,1.42374,0.00011378,0.00011378,0.00011378
4,139.781,1.36725,2.19849,1.44538,0.58726,0.3538,0.40955,0.29012,1.3144,1.7775,1.38554,0.000111931,0.000111931,0.000111931
5,173.889,1.32865,2.08738,1.41797,0.60069,0.39712,0.4517,0.31741,1.27996,1.63866,1.36095,0.000109575,0.000109575,0.000109575
6,207.884,1.34517,2.03781,1.42104,0.57877,0.44873,0.48937,0.34938,1.25105,1.58661,1.33879,0.000107219,0.000107219,0.000107219
7,242.138,1.30508,1.96874,1.39909,0.64955,0.43372,0.5103,0.3662,1.22594,1.49761,1.30743,0.000104863,0.000104863,0.000104863
8,276.34,1.29092,1.92908,1.39296,0.66647,0.45163,0.53189,0.38224,1.20508,1.47799,1.29673,0.000102507,0.000102507,0.000102507
9,311.489,1.27185,1.82491,1.36573,0.6454,0.49932,0.55999,0.4045,1.19346,1.4058,1.28488,0.00010015,0.00010015,0.00010015
10,345.478,1.24314,1.78962,1.34836,0.69211,0.48734,0.56685,0.41231,1.18101,1.38763,1.28025,9.77942e-05,9.77942e-05,9.77942e-05
11,379.728,1.26556,1.80505,1.36351,0.69106,0.50341,0.58926,0.43145,1.16561,1.34945,1.27126,9.5438e-05,9.5438e-05,9.5438e-05
12,413.609,1.25309,1.76194,1.35563,0.66736,0.52567,0.60431,0.44446,1.13882,1.29253,1.2401,9.30818e-05,9.30818e-05,9.30818e-05
13,447.923,1.25557,1.72555,1.35467,0.72517,0.53506,0.61773,0.45604,1.11973,1.26546,1.22442,9.07256e-05,9.07256e-05,9.07256e-05
14,482.249,1.2189,1.70414,1.33505,0.67541,0.5649,0.62695,0.46259,1.10601,1.25302,1.22012,8.83694e-05,8.83694e-05,8.83694e-05
15,516.811,1.21671,1.67311,1.32616,0.70488,0.55221,0.63029,0.47014,1.10642,1.25807,1.2234,8.60132e-05,8.60132e-05,8.60132e-05
16,551.188,1.21618,1.65714,1.31748,0.72336,0.57264,0.65059,0.48168,1.11191,1.21294,1.21455,8.3657e-05,8.3657e-05,8.3657e-05
17,584.824,1.20967,1.61949,1.31969,0.73268,0.56982,0.65742,0.48719,1.08733,1.19617,1.20875,8.13008e-05,8.13008e-05,8.13008e-05
18,618.634,1.19185,1.59204,1.30275,0.74043,0.5826,0.66488,0.50175,1.06625,1.15866,1.19117,7.89446e-05,7.89446e-05,7.89446e-05
19,653.192,1.1873,1.57449,1.29437,0.74322,0.59171,0.67579,0.50847,1.0569,1.13879,1.18149,7.65884e-05,7.65884e-05,7.65884e-05
20,687.568,1.16682,1.53986,1.29188,0.78608,0.57443,0.68498,0.51433,1.05148,1.11718,1.18183,7.42322e-05,7.42322e-05,7.42322e-05
21,721.86,1.18948,1.54505,1.29212,0.78707,0.5959,0.69896,0.5266,1.04156,1.09133,1.16879,7.1876e-05,7.1876e-05,7.1876e-05
22,755.803,1.16111,1.51619,1.28501,0.73579,0.62412,0.69445,0.5238,1.04814,1.08387,1.1689,6.95198e-05,6.95198e-05,6.95198e-05
23,788.875,1.19672,1.54107,1.30118,0.7806,0.60531,0.70448,0.53247,1.03556,1.07061,1.1614,6.71636e-05,6.71636e-05,6.71636e-05
24,822.829,1.16823,1.4837,1.28484,0.75389,0.62567,0.71459,0.54424,1.02026,1.04464,1.15341,6.48074e-05,6.48074e-05,6.48074e-05
25,856.955,1.14598,1.4828,1.27558,0.78104,0.61157,0.71753,0.54342,1.02924,1.05488,1.15392,6.24512e-05,6.24512e-05,6.24512e-05
26,890.511,1.14827,1.47003,1.27677,0.79429,0.63105,0.72771,0.55561,1.00411,1.02704,1.14418,6.0095e-05,6.0095e-05,6.0095e-05
27,924.94,1.13447,1.46212,1.267,0.7859,0.63767,0.73322,0.56035,1.00268,1.00814,1.13664,5.77388e-05,5.77388e-05,5.77388e-05
28,959.583,1.13126,1.42006,1.26412,0.7961,0.65025,0.74097,0.56596,0.9937,0.9993,1.13864,5.53826e-05,5.53826e-05,5.53826e-05
29,993.927,1.13281,1.43221,1.26155,0.79396,0.65084,0.74397,0.57119,0.99087,0.99896,1.13331,5.30264e-05,5.30264e-05,5.30264e-05
30,1027.83,1.12261,1.39811,1.2501,0.80592,0.64632,0.74493,0.57068,0.99278,0.98577,1.13525,5.06702e-05,5.06702e-05,5.06702e-05
31,1061.38,1.11014,1.38922,1.25447,0.81247,0.66136,0.74784,0.57536,0.96995,0.96394,1.1223,4.8314e-05,4.8314e-05,4.8314e-05
32,1095.32,1.14813,1.4249,1.26254,0.81952,0.65962,0.75604,0.58018,0.98077,0.95941,1.12044,4.59578e-05,4.59578e-05,4.59578e-05
33,1129.24,1.1225,1.38008,1.25042,0.83608,0.64891,0.76065,0.58873,0.96144,0.94787,1.11639,4.36016e-05,4.36016e-05,4.36016e-05
34,1164.31,1.10124,1.36032,1.23894,0.79296,0.67995,0.75587,0.58269,0.95744,0.93757,1.11329,4.12454e-05,4.12454e-05,4.12454e-05
35,1198.26,1.1276,1.38758,1.25895,0.80786,0.6765,0.7601,0.58821,0.95278,0.93323,1.10971,3.88892e-05,3.88892e-05,3.88892e-05
36,1231.44,1.11011,1.35775,1.25091,0.81966,0.66722,0.76167,0.59086,0.95247,0.92923,1.10866,3.6533e-05,3.6533e-05,3.6533e-05
37,1265.3,1.09916,1.35582,1.23578,0.81609,0.68861,0.76919,0.59273,0.94988,0.91486,1.10322,3.41768e-05,3.41768e-05,3.41768e-05
38,1298.74,1.10136,1.34637,1.23388,0.82847,0.67775,0.76841,0.5965,0.94567,0.91408,1.09996,3.18206e-05,3.18206e-05,3.18206e-05
39,1332.55,1.11278,1.33423,1.2421,0.81754,0.68364,0.77232,0.60119,0.93466,0.90281,1.09375,2.94644e-05,2.94644e-05,2.94644e-05
40,1367.19,1.10045,1.35778,1.24072,0.82739,0.68473,0.78009,0.60501,0.94127,0.9005,1.0946,2.71082e-05,2.71082e-05,2.71082e-05
41,1403.22,1.15749,1.43437,1.26755,0.79616,0.65324,0.7467,0.56945,0.99174,0.98825,1.12858,2.4752e-05,2.4752e-05,2.4752e-05
42,1435.03,1.08293,1.26871,1.24054,0.80497,0.65932,0.75826,0.58313,0.96993,0.96337,1.11645,2.23958e-05,2.23958e-05,2.23958e-05
43,1466.65,1.06942,1.19874,1.22161,0.79901,0.67783,0.76989,0.59421,0.95795,0.93353,1.10728,2.00396e-05,2.00396e-05,2.00396e-05
44,1498.68,1.07956,1.21702,1.22651,0.81056,0.6763,0.77268,0.59758,0.95169,0.92649,1.10466,1.76834e-05,1.76834e-05,1.76834e-05
45,1530.7,1.04766,1.17538,1.21197,0.80114,0.68651,0.77942,0.60238,0.94616,0.91397,1.1,1.53272e-05,1.53272e-05,1.53272e-05
46,1562.94,1.05803,1.19524,1.21959,0.81282,0.68912,0.78152,0.60541,0.94201,0.90664,1.09777,1.2971e-05,1.2971e-05,1.2971e-05
47,1595.76,1.04647,1.16489,1.20589,0.83756,0.67744,0.78302,0.60848,0.93936,0.90344,1.09591,1.06148e-05,1.06148e-05,1.06148e-05
48,1628.53,1.04784,1.14278,1.20434,0.83705,0.68206,0.78539,0.61026,0.93862,0.89745,1.09504,8.2586e-06,8.2586e-06,8.2586e-06
49,1661.31,1.0379,1.11968,1.19763,0.84306,0.68367,0.78921,0.61362,0.93439,0.88972,1.09263,5.9024e-06,5.9024e-06,5.9024e-06
50,1694.46,1.02248,1.11799,1.19031,0.83415,0.68879,0.78675,0.61291,0.9346,0.89017,1.09267,3.5462e-06,3.5462e-06,3.5462e-06
